,CHICK,CHILI,CHILL,CHOCK,CHUCK,CHUMP,CHUNK,CINCH,CIVIC,CIVIL,CLICK,CLIFF,CLING,CLINK,CLOCK,CLOTH,CLOUT,CLOWN,CLUCK,CLUMP,CLUNG,COLON,COMFY,COMIC,CONCH,CONIC,COUCH,COUGH,COUNT,COYLY,CUMIN,CYNIC,FICUS,FIFTH,FIFTY,FIGHT,FILLY,FILMY,FILTH,FINCH,FISHY,FIZZY,FLICK,FLING,FLINT,FLOCK,FLOSS,FLOUT,FLOWN,FLUFF,FLUNG,FLUNK,FLUSH,FOCUS,FOGGY,FOIST,FOLIO,FOLLY,FULLY,FUNGI,FUNKY,FUNNY,FUSSY,FUZZY,GHOST,GHOUL,GIPSY,GLINT,GLOOM,GLOSS,GLYPH,GOING,GOLLY,GOOFY,GUILT,GULCH,GULLY,GUMMY,GUPPY,GUSTO,GUSTY,GYPSY,HILLY,HIPPO,HIPPY,HITCH,HOIST,HOLLY,HOTLY,HUMPH,HUMUS,HUNCH,HUNKY,HUSKY,HUSSY,HUTCH,ICILY,ICING,IGLOO,IMPLY,INGOT,INPUT,IONIC,ITCHY,JIFFY,JOINT,JOIST,JOLLY,JOUST,JUICY,JUMPY,JUNTO,KINKY,KIOSK,KITTY,KNOCK,KNOLL,KNOWN,LIGHT,LIMIT,LINGO,LOCUS,LOFTY,LOGIC,LOGIN,LOOPY,LOUSY,LOWLY,LUCKY,LUMPY,LUNCH,LUPUS,LUSTY,LYING,LYMPH,LYNCH,MIGHT,MILKY,MIMIC,MINIM,MINTY,MINUS,MISSY,MOGUL,MOIST,MONTH,MOSSY,MOTIF,MOTTO,MOULT,MOUNT,MOUTH,MUCKY,MUCUS,MULCH,MUMMY,MUNCH,MUSHY,MUSIC,MUSKY,MUSTY,NIGHT,NINNY,NINTH,NOISY,NOTCH,NUTTY,NYLON,NYMPH,ONION,OPIUM,OPTIC,OUGHT,OUTGO,OWING,PHONY,PHOTO,PICKY,PIGGY,PILOT,PINCH,PINKY,PINTO,PITCH,PITHY,PIVOT,PLUCK,PLUMP,PLUNK,PLUSH,POINT,POLYP,POOCH,POPPY,POSIT,POUCH,POUTY,PUFFY,PULPY,PUNCH,PUPIL,PUPPY,PUSHY,PUTTY,PYGMY,QUICK,QUILL,QUILT,QUOTH,SCION,SCOFF,SCOOP,SCOUT,SCOWL,SHIFT,SHINY,SHOCK,SHOOK,SHOOT,SHOUT,SHOWN,SHOWY,SHUCK,SHUNT,SHUSH,SHYLY,SIGHT,SILKY,SILLY,SISSY,SIXTH,SIXTY,SKIFF,SKILL,SKIMP,SKULK,SKULL,SKUNK,SLICK,SLIMY,SLING,SLINK,SLOOP,SLOSH,SLOTH,SLUMP,SLUNG,SLUNK,SLUSH,SLYLY,SMITH,SMOCK,SMOKY,SNIFF,SNOOP,SNOUT,SNOWY,SNUCK,SNUFF,SOGGY,SONIC,SOOTH,SOOTY,SOUTH,SPICY,SPIKY,SPILL,SPILT,SPINY,SPLIT,SPOIL,SPOOF,SPOOK,SPOOL,SPOON,SPOUT,SPUNK,STICK,STIFF,STILL,STILT,STING,STINK,STINT,STOCK,STOIC,STOMP,STONY,STOOL,STOOP,STOUT,STUCK,STUFF,STUMP,STUNG,STUNK,STUNT,SUING,SULKY,SULLY,SUNNY,SUSHI,SWIFT,SWILL,SWING,SWISH,SWOON,SWOOP,SWUNG,THICK,THIGH,THING,THINK,THONG,THUMP,TIGHT,TIPSY,TONIC,TOOTH,TOPIC,TOUCH,TOUGH,TOXIC,TOXIN,TULIP,TUNIC,TWIST,TWIXT,TYING,UNCUT,UNFIT,UNIFY,UNION,UNITY,UNLIT,UNTIL,UNZIP,USING,VIGIL,VINYL,VISIT,VOMIT,VOUCH,VYING,WHICH,WHIFF,WHINY,WHISK,WHOOP,WIGHT,WILLY,WIMPY,WINCH,WISPY,WITCH,WITTY,WOOLY,WOOZY,YOUNG,YOUTH
CHICK,1,0,0,2,2,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,19,7,41,8,51,43,5,0,8,77,0,18,10,0,66,34,59,129,67,11,18,21,90,15,64,69,89,66,16,82,73,128,9,9,33,12,92,65,19,35,67,90,16,0,86,109,94,38,35,83,12,17,14,0,6,36,17,28,38,0,6,4,34,0,5,12,70,60,45,35,18,8,76,22,19,83,46,0,107,48,11,7,11,0,15,26,7,28,22,14,36,17,42,72,26,71,8,70,0,63,24,21,27,0,9,8,19,40,23,19,50,52,20,15,65,48,119,34,39,11,13,41,0,135,0,29,21,12,42,7,54,6,15,0,47,45,24,37,45,18,19,61,27,12,13,8,60,22,0,10,21,0,7,38,0,95,10,14,19,72,0,113,34,0,30,101,81,0,66,122,24,65,133,0,42,21,11,10,42,38,19,25,5,7,0,5,9,6,8,11,0,7,13,15,6,4,34,55,5,30,6,4,7,4,10,7,0,16,8,3,59,19,8,53,38,3,20,89,5,0,13,15,55,28,39,0,66,59,16,11,46,7,0,7,21,13,15,21,38,75,11,59,55,36,7,0,20,14,14,13,4,13,0,18,54,25,49,64,47,0,72,63,43,6,53,11,6,57,48,22,17,18,13,6,72,90,58,0,7,6,2,11,14,9,27,14,22,18,0,11,21,44,28,11,21,38,19,26,33,24,32,16,22,22,60,11,42,31,27,60,0,35,0,8,6,3,15,4,52,62,0,43,0,42,71,122,39,5
CHILI,0,1,0,3,2,4,2,2,5,5,0,0,0,0,3,2,3,3,5,5,4,7,13,5,3,3,2,3,7,2,5,3,19,7,41,8,5,23,2,3,8,77,0,0,0,4,29,19,37,46,33,35,6,21,90,0,24,6,3,0,66,82,73,128,9,2,33,0,36,27,2,0,5,90,0,2,3,109,94,38,35,83,1,17,14,2,0,1,2,28,38,3,29,30,34,2,0,0,23,9,45,35,18,8,76,0,0,6,46,0,107,48,43,37,38,13,8,103,2,17,20,9,30,8,25,38,13,6,9,35,2,38,19,0,3,2,9,21,19,40,23,19,50,21,0,15,65,48,119,12,39,11,34,41,2,135,3,29,21,64,42,7,54,6,0,3,47,32,24,0,0,18,19,61,0,12,13,18,60,17,3,33,21,2,7,38,8,39,31,6,0,37,4,113,34,3,30,101,37,3,27,122,24,65,133,0,0,0,11,0,42,38,19,15,0,0,3,9,9,6,8,11,2,7,13,2,6,14,3,55,5,30,0,0,0,15,6,75,0,0,0,0,27,4,3,30,25,29,6,4,0,13,52,0,55,28,39,16,66,59,16,11,46,7,0,0,0,0,0,13,20,75,81,34,55,36,55,0,0,0,0,0,0,0,14,18,54,25,35,64,47,18,72,63,43,45,53,0,18,1,48,0,0,0,0,0,72,90,58,0,0,0,0,11,14,9,27,14,22,18,2,11,21,44,18,11,0,0,0,26,33,0,0,0,12,16,60,0,14,14,27,60,3,0,0,0,0,0,15,4,5,62,3,43,2,42,12,122,39,5
CHILL,2,0,1,3,2,4,2,2,5,0,2,2,2,2,3,2,3,3,5,5,4,7,13,5,3,3,2,3,7,0,5,3,19,7,41,8,0,23,2,3,8,77,3,11,7,4,29,19,37,46,33,35,6,21,90,15,24,0,0,66,66,82,73,128,9,0,33,7,36,27,2,35,0,90,0,2,0,109,94,38,35,83,0,17,14,2,6,0,0,28,38,3,29,30,34,2,0,12,23,0,45,35,18,8,76,22,19,0,46,7,107,48,43,37,38,13,5,103,2,17,20,9,30,8,25,38,13,0,9,35,2,38,19,14,3,2,9,21,19,40,23,19,50,0,20,15,65,48,119,0,39,11,34,41,2,135,3,29,21,64,42,7,54,6,15,3,47,32,24,37,45,18,19,61,27,12,13,18,60,17,3,33,21,2,7,38,8,39,31,6,19,37,4,113,34,3,30,101,37,3,0,122,24,65,133,7,5,0,11,10,42,38,19,0,5,7,3,9,9,6,8,11,2,7,13,0,6,14,0,55,5,30,26,2,29,0,1,75,3,5,5,6,27,4,3,30,25,29,6,0,5,13,52,15,55,28,39,16,66,59,16,11,46,7,6,21,2,0,15,13,0,75,81,0,55,36,55,6,20,2,0,13,9,13,14,18,54,25,0,64,47,18,72,63,43,45,53,11,18,0,48,22,17,2,13,6,72,90,58,2,7,6,4,11,14,9,27,14,22,18,2,11,21,44,18,11,21,38,19,26,33,24,32,16,12,0,60,11,0,0,27,60,3,35,2,8,6,4,15,4,0,62,3,43,2,42,0,122,39,5
CHOCK,2,0,0,1,2,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,11,20,65,35,73,60,17,0,31,108,0,59,39,0,11,21,24,129,67,11,18,6,49,11,32,43,89,42,16,82,73,128,3,9,37,40,19,10,19,34,38,25,27,0,86,109,94,29,35,83,35,28,37,0,4,12,5,28,38,0,6,4,34,0,27,29,43,51,30,29,12,18,106,22,13,44,17,0,107,41,15,3,20,0,7,9,26,55,39,3,21,8,22,17,13,39,8,70,0,63,24,44,27,0,29,15,42,107,38,24,46,31,12,7,30,26,37,23,22,8,13,41,0,135,0,29,12,12,42,25,82,16,13,0,47,45,24,66,47,18,12,54,59,7,5,13,76,22,0,13,35,0,22,41,0,95,10,14,15,29,0,47,11,0,25,101,81,0,30,122,24,65,133,0,46,32,7,13,7,7,6,3,7,7,0,1,3,3,3,4,0,7,13,15,22,5,35,60,9,38,13,8,13,4,10,7,0,27,29,2,5,5,3,53,38,3,20,89,8,0,6,61,8,10,12,0,66,23,5,3,9,4,0,10,41,23,27,23,8,11,4,5,8,12,7,0,62,37,37,39,6,52,0,6,12,7,4,9,16,0,72,63,43,6,53,23,6,57,48,17,56,56,52,13,8,11,58,0,12,10,5,5,14,36,28,8,6,9,0,8,10,22,19,11,69,118,43,26,36,28,41,20,22,22,40,23,100,49,75,31,0,70,0,18,13,3,6,33,72,74,0,45,0,67,17,29,32,6
CHUCK,2,0,0,2,1,0,0,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,20,20,65,35,73,60,17,0,31,108,0,59,39,0,66,34,59,30,16,3,4,18,90,32,44,69,39,33,7,35,30,58,9,7,37,40,92,65,19,49,67,90,13,0,39,48,44,12,16,83,35,14,37,0,12,36,17,6,9,0,2,2,12,0,27,29,44,51,41,29,13,18,106,47,39,83,12,0,48,16,15,6,20,0,15,26,26,55,26,11,36,13,26,72,4,71,5,32,0,16,10,44,27,0,29,15,42,107,38,26,46,37,26,15,65,40,119,9,11,3,7,11,0,57,0,9,13,6,16,25,82,16,12,0,25,45,24,57,45,15,8,27,49,12,13,13,76,25,0,13,29,0,22,47,0,24,3,2,29,72,0,113,23,0,19,44,35,0,32,54,9,30,133,0,39,16,4,10,42,38,18,25,7,7,0,5,9,3,8,11,0,2,4,15,22,5,35,60,9,38,13,8,13,2,2,3,0,27,29,2,59,19,8,10,10,1,4,89,8,0,13,61,55,27,39,0,17,59,10,11,46,3,0,10,41,23,27,23,14,75,11,59,55,28,2,0,62,37,37,39,6,52,0,16,54,25,49,64,43,0,14,11,10,3,11,18,2,19,21,13,56,56,52,13,72,90,16,0,12,10,5,11,4,36,28,11,22,15,0,4,19,48,13,12,69,118,43,15,44,45,51,29,26,26,56,33,100,49,75,51,0,70,0,18,13,3,15,33,72,74,0,45,0,67,71,122,19,4
CHUMP,1,4,4,3,1,1,1,1,12,9,4,8,5,4,2,4,4,4,3,1,3,4,2,2,3,2,2,3,4,7,2,5,20,20,65,35,73,4,17,1,31,108,7,59,39,11,66,34,59,30,16,15,4,18,90,32,44,69,39,33,28,35,30,58,9,7,12,40,23,65,4,49,67,90,13,2,39,6,14,12,16,22,35,5,8,2,12,36,17,2,3,1,16,10,12,2,27,29,44,5,41,13,13,18,106,47,39,83,12,11,7,16,67,35,53,13,69,103,26,10,26,11,36,13,26,10,4,71,8,4,1,5,10,44,2,1,5,6,3,17,8,8,6,6,10,2,7,12,18,1,4,1,2,2,1,6,1,2,2,5,4,25,82,16,12,3,25,45,2,57,9,4,8,27,49,2,1,3,20,7,1,16,11,1,3,13,1,3,3,2,11,5,1,12,9,1,4,10,8,1,5,9,2,6,7,10,39,16,4,10,42,2,18,25,7,7,3,9,9,3,8,11,1,2,4,15,22,30,35,60,9,38,75,51,4,14,14,15,5,2,29,35,3,19,8,2,10,11,4,89,1,4,12,61,5,27,39,3,17,59,10,11,46,3,2,10,18,14,10,14,11,31,28,21,25,15,6,8,62,37,37,39,44,52,14,16,3,25,49,4,43,4,14,3,10,8,11,18,17,19,21,13,56,56,52,13,72,6,16,1,12,10,6,11,1,36,10,11,22,4,2,4,19,48,1,12,69,118,43,15,44,45,51,29,26,26,6,33,100,49,75,11,2,70,2,18,13,6,2,33,72,7,1,10,2,67,71,122,19,4
CHUNK,1,4,4,1,1,2,1,1,12,9,1,8,2,1,1,4,4,3,1,5,2,3,13,2,1,2,2,3,2,7,3,5,20,20,65,35,73,60,17,1,31,108,1,11,7,1,66,34,43,30,8,4,4,18,90,32,44,69,39,13,7,15,30,58,9,7,37,6,92,65,19,11,67,90,13,2,39,48,44,12,16,83,35,14,37,2,12,36,17,6,9,1,1,2,12,2,27,2,44,51,16,16,4,18,106,12,39,83,12,11,48,15,8,6,20,2,9,14,26,55,11,11,36,13,18,72,4,71,5,32,1,16,10,8,27,1,29,15,42,37,22,8,46,37,26,3,65,40,119,9,10,3,7,11,1,57,1,9,13,6,16,10,17,3,10,1,16,35,6,25,45,15,8,27,11,4,13,13,76,25,1,9,10,1,22,47,1,24,3,2,10,72,4,113,23,1,19,44,35,1,32,54,9,30,133,1,39,16,4,8,42,38,18,25,7,2,1,5,9,3,3,11,1,1,4,15,22,5,35,60,9,38,13,8,13,2,2,3,1,27,5,1,59,19,8,10,3,1,4,89,8,2,13,23,38,14,26,1,6,59,3,11,46,3,9,10,41,23,7,23,14,75,11,59,43,28,2,1,62,37,37,5,3,8,2,16,54,9,49,64,43,1,14,11,3,3,6,5,2,19,7,13,56,56,7,13,48,90,5,1,12,2,1,3,4,36,28,3,22,15,2,4,19,22,13,3,69,118,6,7,15,19,23,14,12,12,24,6,100,22,75,51,2,11,2,18,3,3,15,33,72,74,1,45,2,67,71,122,9,4
CINCH,1,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,9,3,12,6,22,18,3,0,8,28,0,20,13,0,66,34,43,129,29,27,15,21,90,24,64,69,89,16,13,12,73,128,16,17,13,14,92,65,26,19,67,90,26,0,86,109,94,38,35,83,15,16,15,0,4,36,17,17,38,0,7,30,34,0,21,10,70,60,17,26,4,8,28,13,29,83,46,0,107,11,9,37,13,0,37,44,6,19,11,14,36,17,20,72,26,71,26,70,0,63,24,18,25,0,7,21,9,11,5,11,23,52,23,8,65,48,119,34,10,8,34,41,0,135,0,29,21,64,42,4,8,4,13,0,33,35,6,16,37,18,19,61,18,8,20,8,18,15,0,7,8,0,3,21,0,95,24,13,10,72,0,113,34,0,30,101,81,0,66,122,24,65,133,0,61,28,10,6,42,38,19,25,6,6,0,32,18,10,12,21,0,7,19,34,7,20,20,27,4,11,57,49,43,74,74,28,0,30,20,21,59,17,10,53,22,20,17,89,4,0,52,21,38,19,26,0,43,59,4,16,46,9,0,40,38,16,19,21,38,75,81,59,43,36,25,0,32,24,24,13,14,16,0,18,54,12,49,64,47,0,72,63,22,19,24,16,51,57,12,22,29,48,22,8,48,90,25,0,4,4,4,11,10,7,9,4,21,18,0,9,21,26,28,4,36,49,11,16,23,14,13,10,17,17,34,16,34,8,20,60,0,20,0,17,5,18,32,6,23,19,0,18,0,13,71,122,7,6
CIVIC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,15,11,66,34,59,129,67,62,40,21,90,24,0,69,89,66,66,82,73,128,49,34,0,17,92,65,62,41,67,90,26,17,86,109,94,38,35,83,0,0,0,0,24,42,23,103,74,17,48,42,50,23,21,14,70,60,45,35,0,17,0,26,29,83,46,13,107,48,0,0,0,13,69,103,0,1,0,14,36,0,0,72,26,71,26,70,11,63,24,22,62,14,0,0,0,4,0,0,0,52,23,49,65,0,119,34,39,43,34,41,15,135,14,42,0,64,42,0,0,0,17,12,47,45,54,50,37,0,41,61,36,33,78,0,0,0,0,0,0,0,0,0,15,95,54,36,19,72,18,113,0,9,30,101,81,13,0,122,44,65,133,15,61,28,53,8,42,38,19,25,26,18,13,68,63,31,46,39,20,39,89,40,0,0,0,0,0,0,57,49,43,74,74,75,13,30,24,27,59,44,31,53,38,42,47,89,24,13,52,36,55,28,39,16,66,59,0,63,46,31,11,40,38,16,21,0,0,75,81,59,55,36,55,9,32,24,24,18,20,22,14,0,54,25,49,64,47,18,72,63,43,45,53,35,51,57,48,63,29,48,33,51,72,90,58,12,36,24,25,61,72,0,0,0,107,0,10,41,0,0,0,0,36,49,12,26,0,30,45,11,0,0,0,35,1,0,2,0,2,3,19,58,26,46,107,0,0,0,0,0,0,0,71,122,39,22
CIVIL,2,1,1,6,7,12,6,0,1,1,1,1,1,1,3,1,3,3,5,5,4,7,13,0,3,0,4,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,2,13,12,4,29,19,37,46,33,35,24,21,90,24,0,26,26,66,66,82,73,128,49,6,0,12,36,27,19,41,25,90,7,7,22,109,94,38,35,83,0,0,0,0,24,29,25,103,74,17,48,42,50,23,2,14,23,21,45,35,0,17,0,26,29,34,46,13,107,48,0,0,0,13,3,103,0,2,0,9,30,0,0,38,13,36,9,35,5,38,19,8,45,5,0,0,1,4,0,0,0,7,23,49,65,0,119,16,39,43,34,41,9,135,14,42,0,64,42,0,0,0,17,12,47,32,54,50,37,0,41,61,36,33,78,0,0,0,0,0,0,0,0,0,8,39,31,25,19,37,18,113,0,9,30,101,37,13,0,122,44,65,133,15,4,12,53,8,42,38,19,2,26,18,13,68,63,31,46,39,20,39,89,39,0,0,0,0,0,0,57,5,43,31,3,75,2,14,13,16,27,23,17,30,25,29,29,21,24,13,52,36,55,28,39,16,66,59,0,63,46,31,11,40,4,10,21,0,0,75,81,6,55,36,55,9,32,4,11,18,20,22,14,0,54,25,6,64,47,18,72,63,43,45,53,35,18,21,48,63,29,5,33,51,72,90,58,12,36,24,25,61,72,0,0,0,107,0,10,41,0,0,0,0,36,49,12,26,0,30,45,11,0,0,0,35,1,0,2,0,2,3,19,58,26,46,107,0,0,0,0,0,0,0,40,122,39,22
